Oddonacci(5) = 5, Time: 3500 ns
Oddonacci(10) = 105, Time: 2999 ns
Oddonacci(15) = 2209, Time: 3499 ns
Oddonacci(20) = 46499, Time: 4500 ns
Oddonacci(25) = 978793, Time: 13799 ns
Oddonacci(30) = 20603361, Time: 6400 ns
Oddonacci(35) = 433695873, Time: 7400 ns
Oddonacci(40) = 539260895, Time: 9400 ns
Oddonacci(45) = -1106123859, Time: 9200 ns
Oddonacci(50) = -780807791, Time: 9600 ns
Oddonacci(55) = 216042609, Time: 26001 ns
Oddonacci(60) = -1645004157, Time: 11801 ns
Oddonacci(65) = -750114111, Time: 21001 ns
Oddonacci(70) = -1488695, Time: 14300 ns
Oddonacci(75) = 1868586433, Time: 18400 ns
Oddonacci(80) = -165993377, Time: 13200 ns
Oddonacci(85) = -1618763179, Time: 1601 ns
Oddonacci(90) = 2068304665, Time: 5201 ns
Oddonacci(95) = -1300031551, Time: 5301 ns
Oddonacci(100) = -1081317309, Time: 12100 ns
Oddonacci(105) = -464553895, Time: 2500 ns
Oddonacci(110) = 747921233, Time: 5900 ns
Oddonacci(115) = 1275572801, Time: 7000 ns
Oddonacci(120) = 1300592383, Time: 12800 ns
Oddonacci(125) = -728836995, Time: 5999 ns
Oddonacci(130) = 155490177, Time: 6099 ns
Oddonacci(135) = -457918191, Time: 6300 ns
Oddonacci(140) = -1599694237, Time: 9500 ns
Oddonacci(145) = 463731377, Time: 6399 ns
Oddonacci(150) = -909188103, Time: 6100 ns
Oddonacci(155) = 1245923457, Time: 8999 ns
Oddonacci(160) = -50867905, Time: 6700 ns
Oddonacci(165) = -731490651, Time: 8400 ns
Oddonacci(170) = -1281346231, Time: 6400 ns
Oddonacci(175) = -1920825631, Time: 9199 ns
Oddonacci(180) = 599497827, Time: 8200 ns
Oddonacci(185) = 797347913, Time: 9699 ns
Oddonacci(190) = -1756890815, Time: 8600 ns
Oddonacci(195) = -1138123007, Time: 10401 ns
Oddonacci(200) = 909677727, Time: 7400 ns
