Oddonacci(5) = 5, Time: 3400 ns
Oddonacci(10) = 105, Time: 1400 ns
Oddonacci(15) = 2209, Time: 1500 ns
Oddonacci(20) = 46499, Time: 1600 ns
Oddonacci(25) = 978793, Time: 1900 ns
Oddonacci(30) = 20603361, Time: 2200 ns
Oddonacci(35) = 433695873, Time: 3400 ns
Oddonacci(40) = 539260895, Time: 2800 ns
Oddonacci(45) = -1106123859, Time: 3000 ns
Oddonacci(50) = -780807791, Time: 22000 ns
Oddonacci(55) = 216042609, Time: 3700 ns
Oddonacci(60) = -1645004157, Time: 3600 ns
Oddonacci(65) = -750114111, Time: 7700 ns
Oddonacci(70) = -1488695, Time: 700 ns
Oddonacci(75) = 1868586433, Time: 600 ns
Oddonacci(80) = -165993377, Time: 600 ns
Oddonacci(85) = -1618763179, Time: 700 ns
Oddonacci(90) = 2068304665, Time: 700 ns
Oddonacci(95) = -1300031551, Time: 700 ns
Oddonacci(100) = -1081317309, Time: 700 ns
Oddonacci(105) = -464553895, Time: 800 ns
Oddonacci(110) = 747921233, Time: 800 ns
Oddonacci(115) = 1275572801, Time: 700 ns
Oddonacci(120) = 1300592383, Time: 900 ns
Oddonacci(125) = -728836995, Time: 1000 ns
Oddonacci(130) = 155490177, Time: 1100 ns
Oddonacci(135) = -457918191, Time: 1300 ns
Oddonacci(140) = -1599694237, Time: 1100 ns
Oddonacci(145) = 463731377, Time: 1000 ns
Oddonacci(150) = -909188103, Time: 1000 ns
Oddonacci(155) = 1245923457, Time: 1300 ns
Oddonacci(160) = -50867905, Time: 1100 ns
Oddonacci(165) = -731490651, Time: 1000 ns
Oddonacci(170) = -1281346231, Time: 1100 ns
Oddonacci(175) = -1920825631, Time: 1300 ns
Oddonacci(180) = 599497827, Time: 1400 ns
Oddonacci(185) = 797347913, Time: 3300 ns
Oddonacci(190) = -1756890815, Time: 1400 ns
Oddonacci(195) = -1138123007, Time: 1600 ns
Oddonacci(200) = 909677727, Time: 1400 ns
